TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;06;037;9108.05;1030;4
Census Block;06;037;9108.05;1045;4
Census Block;06;037;9108.05;1046;4
Census Block;06;037;9108.05;1047;4
Census Block;06;037;9108.05;1048;4
Census Block;06;037;9108.05;1049;4
Census Block;06;037;9108.05;1050;4,5
Census Block;06;037;9108.05;1051;4
Census Block;06;037;9108.05;1052;4
Census Block;06;037;9108.05;1053;4
Census Block;06;037;9108.05;1054;4
Census Block;06;037;9108.05;1055;4
Census Block;06;037;9108.05;1056;4,5
Census Block;06;037;9108.05;1057;5
Census Block;06;037;9108.05;1058;4,5
Census Block;06;037;9108.05;1059;5
Census Block;06;037;9108.05;1060;5
Census Block;06;037;9108.05;1061;4
Census Block;06;037;9108.05;1062;4,5
Census Block;06;037;9108.05;1063;5
Census Block;06;037;9108.05;1064;5
Census Block;06;037;9108.05;1065;5
Census Block;06;037;9108.05;1066;4,5
Census Block;06;037;9108.05;1067;5
Census Block;06;037;9108.05;1068;5
Census Block;06;037;9108.05;1069;4
Census Block;06;037;9108.05;1070;4
Census Block;06;037;9108.05;1071;5
Census Block;06;037;9108.05;1072;4
Census Block;06;037;9108.05;1073;4,5
Census Block;06;037;9108.05;1074;5
Census Block;06;037;9108.05;1075;4
Census Block;06;037;9108.05;1076;4,5
Census Block;06;037;9108.05;1077;4
Census Block;06;037;9108.05;1078;4,5
Census Block;06;037;9108.05;1079;5
Census Block;06;037;9108.05;1080;5
Census Block;06;037;9108.05;1081;4,5
Census Block;06;037;9108.05;1082;5
Census Block;06;037;9108.05;1083;5
Census Block;06;037;9108.05;1084;5
Census Block;06;037;9108.05;1085;4,5
Census Block;06;037;9108.05;1086;4
Census Block;06;037;9108.05;1087;4
Census Block;06;037;9108.05;1088;4,5
Census Block;06;037;9108.05;1089;5
Census Block;06;037;9108.05;1090;5
Census Block;06;037;9108.05;1091;5
Census Block;06;037;9108.05;1092;5
Census Block;06;037;9108.05;1097;4
Census Block;06;037;9108.05;1098;4
Census Block;06;037;9108.05;1099;4
Census Block;06;037;9108.05;1100;4
Census Block;06;037;9108.05;1101;4
Census Block;06;037;9108.05;1102;4
Census Block;06;037;9108.05;1103;4
Census Block;06;037;9108.05;1104;4,5
Census Block;06;037;9108.05;1116;4
Census Block;06;037;9108.05;1117;4
Census Block;06;037;9108.05;1118;4
Census Block;06;037;9108.05;1119;4
Census Block;06;037;9108.05;1156;1
Census Block;06;037;9108.05;1157;1
Census Block;06;037;9108.05;1162;4
Census Block;06;037;9108.05;2005;3,6
Census Block;06;037;9108.05;2006;3,5,6
Census Block;06;037;9108.05;2007;5
Census Block;06;037;9108.05;2008;5,6
Census Block;06;037;9108.05;2009;5
Census Block;06;037;9108.05;2010;5,6
Census Block;06;037;9108.05;2011;5
Census Block;06;037;9108.05;2012;5
Census Block;06;037;9108.05;2013;5
Census Block;06;037;9108.05;2014;5
Census Block;06;037;9108.05;2015;5
Census Block;06;037;9108.05;2016;5,6
Census Block;06;037;9108.05;2017;5
Census Block;06;037;9108.05;2022;5
Census Block;06;037;9108.05;2023;5,6
Census Block;06;037;9108.05;2024;6
Census Block;06;037;9108.05;2025;5
Census Block;06;037;9108.05;2026;6
Census Block;06;037;9108.05;2027;6
Census Block;06;037;9108.05;2028;6
Census Block;06;037;9108.05;2029;5
Census Block;06;037;9108.05;2030;6
Census Block;06;037;9108.05;2031;6
Census Block;06;037;9108.05;2032;6
Census Block;06;037;9108.05;2033;5
Census Block;06;037;9108.05;2034;5,6
Census Block;06;037;9108.05;2035;5
Census Block;06;037;9108.05;2036;5
Census Block;06;037;9108.05;2037;6
