"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18007_002","SE_A18007_003","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003","id"
"429","Milpitas city",2012,13.591,3035,2926,73,688,54,0,1626,316,161,1734,0,554776.83,501184.8,24908.53,2247.62,152436.16,0,223784.91,210580.53,24096.1,215046.44,0,-0.801555189456343,0.988469892767416,-0.486642504118616,-0.486642504118616,-0.0604843492586491,0.286326716873999,513159,389942,68807,13.64034,13.59074,0.04959212,36015,2635,1856,1757,956,2959,6113,6185,6469,4322,1544,1054,165,32792,2065,2539,2061,975,1939,4091,4639,6260,3848,2333,1377,665,64107,59712,55894,53963,52657,51462,50846,49065,43263,38861,33382,28037,21682,15308,10110,8652,7138,6081,4745,3261,1721,830,39,38.2,40.6,19646,15397,12699,2698,1364,1334,4249,2232,2017,19646,3351,4442,4252,4142,1599,950,910,6848,2106,977,1351,788,759,415,452,19646,7780,7187,2072,1585,3530,593,11866,6848,2924,2706,735,577,1394,218,3924,19646,7889,7889,6486,1403,577,826,0,0,0,11757,7508,6213,1295,787,508,4249,2232,2017,4773,1453,592,1649,17997,0,2883,4475,6034,2136,1669,1368,1008,73,0,2008,1331,1866,633,710,140,87,73,3.4,3.3,16310,32263,938,2526,3857,2335851500,81155,374278500,2442878700,568361700,122084600,17898,1748,17164,2482,2428,17218,4312,15334,4015,15631,855,18791,570,19076,2586,17060,2495,17151,35503,48341,85673,119402,169133,250001,23757,66585,102694,140009,261440,388995,4,11.2,17.27,23.55,43.98,16.36,0.3938,19646,12798,6848,20201,19646,555,16011,12134,3877,176,1028,383,882,220,1058,443,0,195,1364,4081,7319,5852,835,154,1132,2471,1972,840,279,1980,485000,26.1000003814697,11540800,1851,1568,22.8999996185303,26.7999992370605,10,0,68,230,473,814,784,610,419,364,263,1946,3178,10336,161,14644,1400,13244,44897,4276,40621,7102,668,6434,31904,1864,11127,8707,6049,2456,1040,661,586,6304,14808,6673,1832,1040,661,4418,7638,4380,2176,592,149,2841,2397,749,670,42,53963,1904,1204,700,52059,45621,6438,31430,37377,23999,13378,64584,55487,9097,19646,19646,19395,779
"430","Mission Viejo city",2012,17.739,10860,10653,46,1402,54,1,4444,1355,323,7084,0,1047827.84,935491.32,18290.51,2886,142586.15,50,227037.2,365493.55,20425.45,548662.41,0,-0.530415285451197,1.05799296492386,-0.322288213627993,-0.322288213627993,-0.0235828729281768,0.309879100091012,937953,692476,95289,18.1233,17.73922,0.3840817,46248,2810,3770,3277,1696,3647,5062,5932,8537,6296,3100,1647,474,49041,2725,3138,2585,3116,3963,4477,6067,7669,7596,3916,2140,1649,89754,82846,76984,72172,69760,68726,67604,64562,60524,55023,50949,43024,35527,26818,19776,16501,12926,11278,9174,5910,3582,2123,42.3,41.6,42.7,33343,25329,20931,4398,2204,2194,8014,2916,5098,33343,6950,11383,5842,5710,1930,1046,482,7632,2123,1847,1488,1282,425,467,0,33343,11747,10886,2175,1445,7266,861,21596,7632,3314,3230,736,529,1965,84,4318,33343,11747,11747,9796,1951,1039,912,0,0,0,21596,13582,11135,2447,1165,1282,8014,2916,5098,29038,6903,1456,3469,29874,121,2731,5899,9035,3484,3863,4210,2600,1400,121,1404,1910,2010,380,463,491,370,483,2.82,2.82,19169,45055,779,5266,6715,3736959000,54149,493580100,3826979700,3273313900,317678200,27398,5945,26101,7242,5189,28154,9668,23675,8738,24605,1100,32243,114,33229,6184,27159,3851,29492,40162,35161,78541,118255,169384,250001,19729,58917,96694,140240,244802,377676,3.52,10.51,17.26,25.03,43.68,16.85,0.4052,33343,25711,7632,33708,33343,365,28016,24267,3749,357,838,1464,1497,413,1067,56,0,202,2244,7457,12006,8987,2447,103,1712,2852,2097,670,198,1980,517200,33.2999992370605,12978400,1746,1677,24.1000003814697,27.2999992370605,10.3999996185303,0,245,532,1004,1688,616,335,554,781,484,4339,5258,17127,380,23098,1311,21787,59218,3787,55431,12824,519,12305,41418,3031,12611,9710,8153,4313,2385,1215,1056,7427,16869,9573,2893,2385,1215,7495,15527,6809,2069,352,648,2113,3580,759,379,153,72123,5849,2831,3018,66274,56366,9908,77572,17717,11361,6356,86885,52615,34270,33343,33343,33100,786
"431","Modesto city",2012,36.867,10197,8743,448,822,48,2,4307,1536,549,6421,0,4275057.94,1209699.87,359602.66,3820.5,87970.63,375,1124695.3,2070997.27,186591.54,2673180.25,0,-0.560793370599196,0.995222428205757,-0.324381680886535,-0.324381680886535,-0.0488310287339413,0.338603486533783,4600969,3087047,203560,37.09229,36.86719,0.2250956,98031,5987,6139,9041,4701,11912,14452,11626,12932,10815,6009,2881,1536,105529,7468,5799,8126,4632,10581,13850,13169,15749,11964,7504,4564,2123,190105,178167,161000,151667,146394,141780,138272,129174,112864,100872,89218,76077,62262,47396,35841,30914,24617,21337,16589,11104,7584,3659,34.6,32.8,36.8,69451,48734,32644,16090,4161,11929,20717,9787,10930,69451,16333,22267,9515,12280,5625,2035,1396,32978,9709,8415,3932,5930,2957,1246,789,69451,25753,22897,4862,4081,13954,2856,43698,32978,14334,12886,3358,2559,6969,1448,18644,69451,26355,25944,15660,10284,2425,7859,411,191,220,43096,22790,16984,5806,1736,4070,20306,9596,10710,52488,22394,11685,20401,49050,2664,11233,13480,15952,5679,6553,7170,4910,1810,2422,7750,6872,7607,2388,1627,1991,1525,796,2.89,2.9,56519,72866,4439,9118,18058,4334809600,30175,938328800,4512320300,3612228100,1110420200,52473,16978,51078,18373,5576,63875,9742,59709,19786,49665,6646,62805,3954,65497,10620,58831,12512,56939,22167,19595,35634,59247,94841,161204,10679,27422,45923,75416,152637,258205,3.42,8.79,14.72,24.17,48.91,20.68,0.4581,69451,36473,32978,74178,69451,4727,53991,51221,2770,3384,3648,3114,2924,1396,3892,1829,0,3210,4899,16929,32122,9588,2703,3052,4858,12563,9682,2158,665,1976,149100,38.7000007629395,34457200,1008,954,23.2999992370605,26.2999992370605,10.3999996185303,0,697,2147,3304,2324,2685,2307,4302,5750,4713,20393,11476,8644,709,50488,15007,35481,126228,24868,101360,23870,2331,21539,74322,11379,26888,13024,8672,5258,4659,4442,1507,21800,27984,10999,2931,4659,4442,24358,26552,9217,2791,1087,4572,15149,9772,2404,731,350,151556,10450,5078,5372,141106,121861,19245,170017,33543,15079,18464,188147,145054,43093,69451,69063,68658,787
"432","Moreno Valley city",2012,51.275,4392,4320,29,501,33,12,2302,309,245,2843,0,387618.9,248786.15,18194.75,4322.58,20493.98,277.5,167058.2,90231.46,37789.75,155134.18,0,-0.827768670309654,0.91966775522332,-0.489993169398907,-0.489993169398907,-0.0690824225865209,0.299097557931064,2010781,1233724,199561,51.47492,51.27456,0.2003561,97667,7797,8752,8155,5524,12408,13203,14241,12109,9016,4274,2009,179,101894,6629,7491,6610,6683,12790,14098,14979,13412,10178,4596,2595,1833,185135,168892,154127,141920,134553,131165,126517,116722,101970,89421,73998,60201,47120,34680,22513,19034,15486,13173,10203,6616,3694,2012,30.9,29,32.8,53127,42505,27125,15380,3752,11628,10622,5176,5446,53127,8005,12080,9886,9990,7302,2631,3233,23111,4033,3973,4090,4482,3074,1363,2096,53127,26024,21953,3011,4928,14014,4071,27103,23111,14344,11904,1811,2986,7107,2440,8767,53127,26292,26201,15125,11076,2506,8570,91,91,0,26835,16304,12000,4304,1246,3058,10531,5085,5446,30000,11769,11264,24331,28796,1025,8770,13406,12893,6040,3507,4537,2005,944,879,5860,6688,5139,1664,881,925,386,689,3.74,3.91,60807,65196,6136,6774,15214,3175201400,36280,478553300,3419593500,2035868800,1369309900,44348,8779,42987,10140,5068,48059,3843,49284,11885,41242,3925,49202,2918,50209,7781,45346,11236,41891,17136,22655,42061,60549,91705,142704,12734,32441,50812,74806,128038,171493,4.26,10.86,17,25.03,42.85,14.35,0.386,53127,30016,23111,56819,53127,3692,44655,43233,1422,407,1914,1807,3557,1439,2054,986,0,1229,3425,7923,20282,15191,5077,1139,3075,6256,7284,4023,1334,1987,171800,38.7999992370605,28365800,1229,1203,26.6000003814697,28.3999996185303,13.1000003814697,118,233,1119,1003,1544,853,1218,1507,3028,3295,18038,11770,8697,704,56941,18538,38403,126430,22729,103701,15443,1621,13822,75825,6576,17306,13935,13636,10427,7568,6377,1327,15274,21216,17669,6394,7568,6377,13965,20457,9579,4351,1759,2463,8909,7772,2715,629,623,141756,9678,6975,2703,132078,119295,12783,149275,50286,21792,28494,189084,159539,29545,53127,53034,52502,810
"433","Mountain View city",2012,11.995,21603,20888,508,6832,3589,153,12412,782,435,13204,0,7736955.43,5917027.46,1495689.76,1646947.71,1372852.85,1045319.07,3199888.59,971062.66,310064.87,5450717.72,0,-1.01746609267231,0.722788044875359,-0.588013701800676,-0.588013701800676,-0.0885302967180484,0.25375980630954,992434,846235,76612,12.27323,11.99534,0.2778859,41646,2910,3020,2081,867,4582,8894,6645,5214,3949,1988,864,632,34966,1912,1843,1117,1039,2384,7223,5632,4409,5120,2294,1697,296,71790,66927,63729,61823,60404,59902,59190,54857,46826,38740,31827,26463,22395,16840,11676,10196,7771,6443,5192,3489,2180,928,35.3,32.9,37.9,32271,18015,13925,4090,1610,2480,14256,7491,6765,32271,11205,9628,5187,3896,1916,395,44,20678,7903,5723,3559,1971,1147,375,0,32271,8843,8111,2709,1335,4067,732,23428,20678,5511,4883,1856,727,2300,628,15167,32271,9007,8886,6994,1892,725,1167,121,121,0,23264,9129,6931,2198,885,1313,14135,7370,6765,21727,13057,4293,5437,26834,1457,8096,6676,5369,3536,2252,2586,1851,448,1389,7336,4523,2740,1536,1136,1025,803,190,2.36,2.3,24313,30063,938,2218,6197,4118479000,77256,1471707000,4246931200,2676034300,370206900,28732,3539,27660,4611,3963,28308,10185,22086,4976,27295,1727,30544,426,31845,3475,28796,3013,29258,55434,38716,71215,112715,186393,250001,18541,54156,91867,144522,329022,568327,2.91,8.49,14.4,22.65,51.56,22.27,0.4809,32271,11593,20678,33971,32271,1700,14302,9947,4355,988,2411,2230,4826,3886,4302,1026,0,1193,7953,12322,7951,1913,939,1193,7510,8578,2973,341,83,1969,749000,24.7000007629395,34960200,1787,1466,22.5,24.6000003814697,11.1999998092651,20,117,333,521,540,588,953,513,668,679,7252,7759,12123,205,14463,1656,12807,54049,4338,49711,7654,810,6844,41550,5122,16211,10704,5853,1932,1516,212,518,12086,19433,6666,1119,1516,212,14223,11727,3250,1076,291,1644,10671,6455,1510,398,0,61823,2998,1504,1494,58825,52548,6277,47384,29228,11729,17499,73724,53843,19881,32271,32271,32166,826
"434","Murrieta city",2012,33.577,7114,7005,44,793,21,13,3241,748,484,5015,0,703410.65,638007.72,21296.74,1898,56402.53,2225,120219.77,386189.49,31265.51,312128.6,0,-0.759820073095305,0.938748562719894,-0.391401461906101,-0.391401461906101,-0.0567402305313466,0.257080721000959,1445455,1131995,106809,33.61327,33.57707,0.03620712,50828,3278,5031,4082,2575,5848,5322,9280,5202,5940,2356,1497,417,55981,4063,3616,6362,1195,4977,8002,7558,7620,5684,3924,2425,555,99468,90821,80377,76607,73425,72045,70202,65782,60145,52458,44129,35620,29044,22798,16995,14326,11174,9326,7737,4894,3318,972,34,33.2,34.7,33478,25682,20604,5078,1721,3357,7796,2729,5067,33478,5620,10105,5971,6543,3647,833,759,10545,2288,2163,1916,2557,868,423,330,33478,13798,13091,1706,3813,7572,707,19680,10545,5560,5442,1002,1942,2498,118,4985,33478,14021,13798,10364,3434,1098,2336,223,139,84,19457,11884,10240,1644,623,1021,7573,2590,4983,25318,7366,2629,6645,26833,1110,4826,8190,6472,3098,3271,3182,2781,548,1070,2373,3770,1253,303,574,512,462,228,3.17,3.18,23825,43458,1951,3342,7801,2778404800,50519,427878300,2893453200,2099389000,568539200,27924,5554,25806,7672,5346,28132,7629,25849,8819,24659,1078,32400,510,32968,6740,26738,6811,26667,27090,36792,56899,80404,121380,204494,21705,47052,67324,95891,182987,279008,5.23,11.34,16.22,23.11,44.1,16.81,0.3837,33478,22933,10545,35803,33478,2325,28189,26924,1265,46,1643,1374,1574,903,617,1457,0,187,1471,5976,10093,9418,6333,46,1424,3729,2497,1372,1477,2000,263600,35,15802500,1545,1789,27.1000003814697,30.6000003814697,11.3999996185303,0,160,599,964,984,719,498,346,938,459,5906,8460,13031,414,29720,4738,24982,65225,4982,60243,11122,487,10635,43464,3829,13589,3646,5435,6112,8512,2341,690,9163,11211,6046,5501,8512,2341,9765,13854,6153,2719,599,296,4735,3942,941,329,302,75124,7543,5269,2274,67581,58681,8900,94245,12564,8395,4169,98719,61508,37211,33478,33478,33478,829
"435","Napa city",2012,17.839,9747,9643,49,1025,39,2,5803,856,422,5567,0,1110548.21,1017266.36,29251.23,2823,84801.97,110,397617.13,206404.32,63350.8,637598.14,0,-0.949650148763722,0.960910503209441,-0.5484036113676,-0.5484036113676,-0.0874761465066174,0.256705219245602,748313,593646,78332,18.14664,17.83907,0.3075717,37952,1880,2731,2528,1959,3706,5826,4311,5432,4952,2603,1308,716,40380,2951,2666,2640,1470,3721,5692,4819,5617,4750,2872,2128,1054,73501,68104,62936,59507,57372,56386,55092,52080,46290,40562,37302,31432,25408,20383,15422,13318,10681,9016,7716,5206,3467,1770,37.3,35.8,38.8,28062,18420,13512,4908,1812,3096,9642,4173,5469,28062,7880,9136,3362,3583,2328,875,898,12646,4370,3288,1235,1476,1265,636,376,28062,9069,8554,1052,2200,5302,515,18993,12646,4821,4439,808,1161,2470,382,7825,28062,9069,9069,6089,2980,832,2148,0,0,0,18993,9351,7423,1928,980,948,9642,4173,5469,24160,10357,3406,6332,21730,723,3588,4160,6495,3025,3195,3446,2127,1303,723,2830,1882,2615,1381,1088,1219,263,645,2.75,2.77,21057,30083,1423,3371,7002,2226275000,47324,535225600,2278548900,2023253900,477838700,21999,6063,20733,7329,4371,23691,6055,22007,7833,20229,1583,26479,598,27464,5995,22067,4850,23212,29088,30462,51891,77896,114748,189769,16798,41483,65335,95125,177930,282484,4.23,10.46,16.47,23.98,44.86,17.8,0.4068,28062,15416,12646,30082,28062,2020,20144,17486,2658,1301,1736,951,1673,1007,1484,1786,0,520,3415,8164,10548,4985,430,484,3149,5005,2922,1086,0,1975,373200,29.7000007629395,16323100,1457,1102,25.2999992370605,28,13.8999996185303,79,315,754,999,1423,762,755,598,1139,1175,6453,5031,8269,310,18626,2102,16524,48562,4013,44549,10312,944,9368,37203,6649,13840,6177,6144,2262,1272,859,1028,12835,12803,6509,1897,1272,859,10018,11103,3529,1698,618,1009,5646,4544,1037,157,253,59416,4184,1499,2685,55232,47236,7996,57804,20528,6178,14350,71411,51070,20341,28062,27985,27884,832
"436","Newport Beach city",2012,23.805,28882,26390,1265,3124,146,18,9037,8969,917,15150,0,28080006.89,23100935.05,2344063.49,408420,2664806.4,16181,5378593.49,13084315.29,1402389.89,15642246.13,0,-0.0558766705906793,1.09998893971135,0.0617619970916142,0.0617619970916142,-0.00489924520462571,0.379307991887163,1648578,1172733,87060,52.97759,23.80469,29.17291,43470,1689,1601,2933,1494,3706,6109,5160,5763,6881,4803,2532,799,43590,1586,2278,1823,1931,3436,5406,5174,6489,7335,4226,2356,1550,83785,79906,75150,71725,69845,69075,68594,64583,58670,53068,48527,42734,37161,30482,23671,19858,16266,14330,11877,7237,4609,2349,44.2,43.1,45.5,36893,22493,18736,3757,1028,2729,14400,6731,7669,36893,10738,14859,5802,3356,1829,140,169,16781,5654,5590,3587,1253,630,67,0,36893,8229,7656,1667,1132,4857,573,28664,16781,4082,3774,1068,636,2070,308,12699,36893,8292,8229,6359,1870,361,1509,63,0,63,28601,14264,12377,1887,667,1220,14337,6731,7606,31903,14024,2033,2893,34000,949,4783,5694,7577,3855,4367,5144,2953,1571,949,4110,3535,3414,1776,1455,1224,238,80,2.35,2.3,22200,39282,1237,3435,8996,6923484600,90585,1849314600,7046270400,6343343500,308547700,29031,7862,26372,10521,7144,29749,16208,20685,10666,26227,489,36404,386,36507,4619,32274,5299,31594,80936,37345,87202,134727,250001,250001,20430,63735,110372,185986,557796,1113883,2.18,6.79,11.76,19.82,59.45,29.68,0.5581,36893,20112,16781,42880,36893,5987,27146,21032,6114,2413,2124,2513,1198,2017,5040,429,0,1275,3936,10051,12276,6019,3336,1275,3530,6040,4669,872,395,1974,1000001,25.3999996185303,33876400,1973,1837,22.7000007629395,30.3999996185303,11.8000001907349,0,42,310,478,519,646,544,685,290,244,5720,5974,20759,682,15121,1111,14010,55381,3657,51724,16092,613,15479,37496,3749,13888,10458,5285,2284,1052,780,295,10973,16827,5602,1967,1052,780,11058,16666,6065,1405,734,398,6516,7338,1792,650,87,71665,5729,1404,4325,65936,53995,11941,75823,11237,8260,2977,79557,46798,32759,36893,36868,36638,839
"437","Norwalk city",2012,9.707,1952,1714,30,259,14,0,754,149,98,1323,0,311875.73,127154.32,20595.82,130.48,15711.1,0,86058.21,46188.17,33640.66,92343.57,0,-0.765911885245902,0.906689693517147,-0.500066598360656,-0.500066598360656,-0.0443237704918033,0.294993686244583,932277,600187,106286,9.746308,9.706998,0.03931061,52561,2803,3369,4542,2632,7385,7587,6261,6855,5878,2920,1759,570,53725,3261,3237,3605,2233,5417,6557,7687,6935,6285,4500,2780,1228,100222,93616,85469,80604,76766,75015,73199,67802,59328,53658,46772,39710,32520,25920,18949,16923,13757,11697,9306,6337,4144,1798,35.5,31.7,38.4,27258,22167,13843,8324,3163,5161,5091,2104,2987,27258,3829,6163,4690,5205,3724,2153,1494,8870,1963,1625,1366,1792,1177,517,430,27258,11361,9495,1167,2214,6114,1866,15897,8870,4402,3840,662,1063,2115,562,4468,27258,11630,11446,7727,3719,1138,2581,184,184,0,15628,10721,6116,4605,2025,2580,4907,1920,2987,15880,3967,4966,15867,11391,906,3278,4782,6194,3563,2122,3740,2040,633,551,1868,2263,1592,471,245,1142,621,117,3.83,3.58,34183,35208,2381,6219,7478,1899790100,41145,200728200,2062589200,1183074100,1193634600,22104,5154,21231,6027,2606,24652,2608,24650,8473,18785,2413,24845,1429,25829,4285,22973,3583,23675,19406,27912,49382,71410,98510,152519,14079,38587,60086,83833,151898,242319,4.04,11.07,17.24,24.06,43.59,17.38,0.3955,27258,18388,8870,28206,27258,948,22051,20793,1258,119,427,659,563,2245,1772,370,0,1015,2779,6354,12797,4025,288,814,2576,2714,2265,501,0,1957,300100,29.8999996185303,10792900,1262,1085,25.7999992370605,30.2000007629395,10,0,938,1266,1326,1013,398,246,615,930,1009,5888,7463,5863,303,25034,4301,20733,66416,8354,58062,13474,1340,12134,42779,3925,8969,9870,8659,7121,2799,1436,711,6521,15532,11498,4282,2799,1436,7578,9635,5211,1835,1069,1197,3407,2459,1309,449,49,80579,4373,2290,2083,76206,64532,11674,70113,36173,22195,13978,99721,87991,11730,27258,27137,26975,859
"438","Oakland city",2012,55.786,108637,101529,1689,12668,1077,283,71752,2064,2603,63587,0,74790194.72,15118567.94,4959320.99,106995.78,1606739.41,117355.48,13745483.72,1632941.74,15290793.99,63370271.36,0,-1.21739122030248,0.506225652184472,-0.744028553807635,-0.744028553807635,-0.109663926654823,0.233450158865073,4581350,3410991,400740,78.00196,55.7858,22.21616,194880,15640,12504,10403,6458,17598,33853,30047,26502,23271,11706,5069,1829,205860,11990,11262,11266,6773,18932,35561,31294,27062,25132,14439,7452,4697,373110,349344,327675,314444,305575,301203,296054,277914,243233,208500,177907,147159,119563,93595,68278,59241,45192,37211,30422,19047,12245,6526,36.3,35.3,37.1,156482,84186,52022,32164,9420,22744,72296,32694,39602,156482,56176,46863,22387,16531,7805,3602,3118,95002,41017,24143,12888,8812,4539,2104,1499,156482,45556,40981,12038,8621,20322,4575,110926,95002,26660,24591,7882,5724,10985,2069,68342,156482,46128,45660,25702,19958,5445,14513,468,131,337,110354,38526,26320,12206,3975,8231,71828,32563,39265,67131,35144,19864,27874,128608,4396,30770,34401,28730,13401,14300,17620,8476,4388,4224,25424,23076,16259,6773,6309,7717,3305,1915,2.52,2.36,142623,124519,8377,17340,34816,11852405200,34008,4475368600,12475208900,6924135500,1628401000,122164,34318,115533,40949,22455,134027,28675,127807,35677,120805,11863,144619,10018,146464,23061,133421,20243,136239,31130,17646,36793,63169,111795,223965,9540,26402,48300,85095,209378,373363,2.53,6.97,12.75,22.47,55.28,24.64,0.5235,156482,61480,95002,171094,156482,14612,81327,73807,7520,10528,18004,14061,11890,17938,16800,508,38,11045,36695,50899,40276,13937,3630,10685,33619,32149,14670,3006,873,1952,399700,34,105244800,1166,1023,24.5,28.2999992370605,13.1000003814697,226,1246,5698,5393,5949,5637,5290,8917,9217,9060,40974,21050,35828,1997,84840,27659,57181,266666,52896,213770,44248,6426,37822,171637,11581,46984,35151,33400,24981,15657,3883,2014,31177,60525,41112,17269,15657,3883,64945,44109,14301,3848,1697,25338,45761,17768,4570,1159,406,314359,14530,7735,6795,299829,261432,38397,292241,108499,47409,61090,376345,292627,83718,156482,155145,154436,869
