	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
SE_A10015_002	916	8,380	13,176	814	134,670
SE_A10015_003	916	51,428	113,136	12,661	1.257e+06
SE_A10013_002	916	7,138	13,449	852	172,238
SE_A10013_003	916	52,670	112,929	11,593	1.280e+06
incomePC	916	30,233	12,641	9,104	96,705
SE_A14026_001	916	29,438	10,040	12,390	77,013
SE_A14026_002	916	54,614	18,267	24,020	144,252
SE_A14026_003	916	83,672	26,545	36,714	205,113
SE_A14026_004	916	127,618	39,002	54,478	258,215
SE_A14026_005	916	201,582	47,949	92,911	702,742
meanQ1Inc	916	16,225	5,582	4,260	39,876
meanQ2Inc	916	41,828	14,083	18,653	102,127
meanQ3Inc	916	68,421	22,295	30,106	174,713
meanQ4Inc	916	103,525	32,662	44,835	273,609
meanQ5Inc	916	203,393	73,702	84,283	648,477
mean5pInc	916	327,505	138,159	125,111	1.114e+06
SE_A14025_001	916	3.804	0.799	1.230	6.350
SE_A14025_002	916	9.680	1.202	5.930	13.20
SE_A14025_003	916	15.81	1.247	11.47	18.60
SE_A14025_004	916	23.97	1.032	19.60	26.73
SE_A14025_005	916	46.74	3.684	38.72	59.45
SE_A14025_006	916	18.67	3.059	11.90	30.60
gini	916	0.430	0.0417	0.329	0.562
SE_A10060_001	916	59,808	125,893	13,733	1.382e+06
SE_A10060_002	916	30,144	49,380	4,564	509,223
SE_A10060_003	916	29,663	77,550	2,803	884,311
SE_A10044_001	916	64,041	135,518	14,259	1.503e+06
SE_A10044_002	916	59,808	125,893	13,733	1.382e+06
SE_A10044_003	916	4,234	9,851	85	120,393
SE_A10032_002	911	37,819	62,472	9,324	651,446
SE_A10032_003	911	33,014	53,544	8,080	559,550
SE_A10032_004	911	4,805	9,941	69	91,896
SE_A10032_005	911	1,795	5,180	0	45,061
SE_A10032_006	911	4,167	8,923	0	94,650
SE_A10032_007	911	4,806	12,334	99	130,743
SE_A10032_008	911	4,270	13,030	0	146,128
SE_A10032_009	911	4,182	17,115	0	197,922
SE_A10032_010	911	5,716	19,048	0	233,940
SE_A10032_011	911	1,456	1,699	0	11,772
SE_A10032_012	911	44.21	101.0	0	1,120
SE_A10050_002	916	2,592	11,391	0	142,831
SE_A10050_003	916	9,719	30,911	312	350,902
SE_A10050_004	916	17,032	39,652	1,876	437,230
SE_A10050_005	916	18,430	29,818	3,279	316,153
SE_A10050_006	916	9,590	13,198	347	125,930
SE_A10050_007	916	2,444	3,938	0	41,120
SE_A10042B_002	916	2,419	10,976	0	137,934
SE_A10042B_003	916	8,910	28,810	209	328,041
SE_A10042B_004	916	11,269	27,179	724	311,886
SE_A10042B_005	916	5,133	8,900	380	99,822
SE_A10042B_006	916	1,587	2,414	0	24,152
SE_A10042B_007	916	345.1	640.7	0	6,619
SE_A10057_001	916	1,974	12.35	1,939	2,001
medianHomeValue	916	491,358	244,711	112,900	2.000e+06
SE_A18003_001	916	33.56	4.297	21.70	51
aggRent	916	3.972e+07	1.027e+08	4.150e+06	1.371e+09
move2005p	916	1,427	406.8	756	3,324
move2000t04	916	1,309	371.9	640	3,058
SE_A10037_001	916	24.55	3.382	15.20	37.10
SE_A10037_002	916	28.31	3.795	19.40	44.40
SE_A10037_003	916	11.05	1.800	6.700	19.70
SE_A10027_002	916	171.5	361.9	0	4,382
SE_A10027_003	916	525.0	881.3	0	10,053
SE_A10027_004	916	1,558	3,237	0	35,470
SE_A10027_005	916	1,617	2,869	64	34,662
SE_A10027_006	916	1,676	3,285	0	43,420
SE_A10027_007	916	1,765	3,878	0	59,015
SE_A10027_008	916	1,944	4,895	64	81,622
SE_A10027_009	916	2,319	6,149	81	92,537
SE_A10027_010	916	2,712	7,054	77	96,284
SE_A10027_011	916	2,964	7,581	61	91,376
SE_A10027_012	916	13,515	30,327	953	357,699
SE_A10027_013	916	10,205	20,109	1,507	270,504
SE_A10027_014	916	14,176	30,165	277	353,979
SE_A10027_015	916	2,039	6,433	0	117,604
SE_A13003A_001	914	43,224	80,980	9,326	945,831
SE_A13003A_002	914	9,071	23,509	35	289,822
SE_A13003A_003	914	34,153	58,529	7,066	685,418
SE_A13003B_001	914	114,503	237,419	32,042	2.622e+06
SE_A13003B_002	914	15,857	41,778	651	523,603
SE_A13003B_003	914	98,646	196,781	26,821	2.238e+06
SE_A13003C_001	914	20,274	40,413	1,773	501,821
SE_A13003C_002	914	2,199	6,015	0	81,291
SE_A13003C_003	914	18,075	34,540	1,588	420,530
nWorkersOutside	916	78,800	163,641	18,798	1.876e+06
travel0t9	916	6,998	11,602	759	132,967
travel10t19	916	22,546	40,797	2,868	414,990
travel20t29	916	16,387	35,033	1,540	356,687
travel30t39	916	14,325	36,154	825	445,196
travel40t59	916	9,810	23,761	345	310,047
travel60t89	916	6,047	14,556	240	198,499
travel90p	916	2,687	5,381	108	74,162
SE_A09002_002	916	1,243	2,281	0	29,650
SE_A09002_003	916	15,991	26,805	1,954	286,625
SE_A09002_004	916	28,696	58,258	3,714	583,860
SE_A09002_005	916	17,597	44,310	952	556,524
SE_A09002_006	916	6,539	15,569	291	198,719
SE_A09002_007	916	6,047	14,556	240	198,499
SE_A09002_008	916	2,687	5,381	108	74,162
SE_A10030_003	916	17,808	46,110	417	533,611
SE_A10030_004	916	21,549	42,591	3,025	527,047
SE_A10030_005	916	10,442	20,851	937	432,708
SE_A10030_006	916	3,788	6,991	304	138,781
SE_A10030_007	916	1,542	2,760	0	45,340
SE_A10054B_002	916	4,442	15,628	40	164,366
SE_A10054B_003	916	12,884	36,287	680	410,344
SE_A10054B_004	916	9,117	20,961	1,047	244,892
SE_A10054B_005	916	2,302	4,555	76	63,909
SE_A10054B_006	916	661.8	1,239	0	16,471
SE_A10054B_007	916	256.1	540.4	0	5,826
SE_A16002_001	916	136,409	281,810	41,150	3.185e+06
SE_A16002_002	916	7,742	12,451	462	123,404
SE_A16002_003	916	4,307	7,186	245	71,510
SE_A16002_004	916	3,435	5,501	53	59,706
SE_A16002_005	916	128,668	270,895	40,226	3.101e+06
SE_A16002_006	916	111,359	235,018	28,590	2.630e+06
SE_A16002_007	916	17,309	36,249	1,720	470,818
SE_A06001_002	916	126,699	229,009	29,604	2.504e+06
SE_A06001_003	916	53,955	137,304	3,356	1.507e+06
SE_A06001_004	916	25,778	61,652	1,888	717,605
SE_A06001_005	916	28,177	76,848	1,399	927,913
SE_A05001_002	916	164,193	333,298	52,517	3.626e+06
SE_A05001_003	916	128,250	273,800	28,184	3.149e+06
SE_A05001_004	916	35,943	62,325	1,052	704,680
SE_A10048_001	916	59,808	125,893	13,733	1.382e+06
SE_A10048_002	916	59,501	124,994	13,606	1.374e+06
SE_A10048_003	916	59,050	123,555	13,529	1.357e+06
id	916	741.5	391.4	11	1,347
year1	916	0.131	0.338	0	1
year2	916	0.132	0.339	0	1
year3	916	0.139	0.346	0	1
year4	916	0.145	0.352	0	1
year5	916	0.147	0.355	0	1
year6	916	0.150	0.357	0	1
year7	916	0.156	0.363	0	1
pop	916	180,654	363,569	61,628	3.990e+06
pforeignBorn	916	0.272	0.107	0.0377	0.570
pHousingOwners	916	1.886	0.451	1.156	4.691
povertyR	914	0.124	0.0609	0.0141	0.401
turnoutR	916	0.627	0.155	0.196	0.928
					
Number of id	1,472	1,472	1,472	1,472	1,472
